voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,cycle,capacity
4.173478356986301,0.05278990546389705,5.169808407187405,-1.8822794310293562,2.47037809523689,11382.93,6.860630063426687e-05,1.3102489664813863,0.21671841777735854,0.10049122841800197,2.8304856080232956,0.9122007822309063,0.031097250832083333,520.0,-0.0006229303136760201,2.716761767626715,1.0,1.0
4.127708476785714,0.06714874366556708,1.7327800880643367,-0.3955989453410352,,,1.6819237907937734e-05,2.625953753174276,0.1186146195340909,0.004337666044152099,24.050253109385682,2.5216699195501313,0.3958198748843889,12022.789999999994,4.5749007687026975e-08,0.9560551162522073,2.0,0.9974326887496586
4.116806893518072,0.0635314593679104,1.652252975193442,-0.11430517292691969,64.78248401046267,98564.28000000003,9.850948118757782e-06,2.8753273074643033,0.46301394746761915,0.05453976644009642,29.062304970509754,-5.178056711854105,2.4439061799020076,18794.280000000028,-4.786204025824572e-06,0.2886487449989158,3.0,1.0087273931690772
4.185445048847583,0.04144542847827837,10.66624220706111,-2.952585545793403,2.298743671541486,3632.9099999999744,3.006067578325677e-05,0.8043903062682258,0.22576534545744678,0.10524487116874601,2.503283860795504,0.7852060557079426,0.028665980009999998,460.0,-0.0007442478533741905,2.77179618291652,4.0,0.9416064181129502
4.185575967753624,0.04144997575058079,10.889870004279976,-2.9873402827747433,2.3031897582397716,3632.5599999999977,2.9070636581372743e-05,0.8061254555900162,0.23133340630434776,0.1087105357463075,2.510850210460284,0.7877505759535195,0.02873083085291667,450.0,-0.0007853159368917667,2.7757462637755927,5.0,0.9426182722055612
4.185524370867924,0.04111992354321651,10.61874342711563,-2.94525767577725,2.3064116061845006,3638.179999999993,3.0331416979419578e-05,0.8142803848474653,0.2292854539155556,0.10664442132478669,2.467209912884071,0.7698979964348197,0.027849198477638892,440.0,-0.0007886863701146242,2.734199711858068,6.0,0.9430673759633637
4.184926038488372,0.04199962332364903,10.223214573377103,-2.881069107168836,2.308555892103597,3641.8000000000466,3.2314239163038904e-05,0.832233788272077,0.2279697871340909,0.10497800277292614,2.476993066152547,0.7706671700021298,0.027058696370555555,430.0,-0.0007942132713227625,2.7834459872444053,7.0,0.9433897089905953
4.18410132032,0.04326725748932755,9.724723427480027,-2.7985065787954686,2.308754811687253,3634.7299999999814,3.501717767281148e-05,0.8737173854952683,0.23147258038444443,0.11103016272941785,2.5058942608490713,0.7877189707153052,0.028101820062083335,440.0,-0.0008198316622002636,2.7564550264233842,8.0,0.9435059508457727
4.183731878898304,0.043277985802203156,9.290483107209663,-2.724401963265975,2.3096366977423806,3636.210000000021,3.774375383813103e-05,0.8946752007021693,0.22876664716666661,0.11084870167936878,2.526215740412617,0.8017797417695018,0.027772479506111114,440.0,-0.0008173106064545455,2.7680827629514857,9.0,0.9435561483092421
4.18533829370229,0.04135380903900446,10.477724810939028,-2.921715474039524,2.310655981122765,3637.8099999999977,3.104032770714684e-05,0.8218716449971556,0.22982514547500002,0.10982536734220102,2.5057630930784183,0.7890768161116671,0.02726554088930555,430.0,-0.0008292186934270615,2.77180623332712,10.0,0.9440475245614784
4.184525856156863,0.042629488989037886,9.983099700760482,-2.8413686647865024,2.31156683897212,3639.289999999979,3.349306061542968e-05,0.8597838644542786,0.23089384155581394,0.108867677851182,2.4887699059928465,0.7745388633313497,0.027053398098333334,430.0,-0.0008391602174732894,2.7717070787923825,11.0,0.9442457038873666
4.184663229920635,0.04223012707246644,9.965641394856645,-2.8387598088102295,2.3125499304939585,3641.0500000000466,3.359228331648593e-05,0.8483160932748934,0.22929696718372095,0.10852767498116929,2.4948966082516972,0.7749219233113459,0.026572738909999997,420.0,-0.0008399674476880096,2.781591326187394,12.0,0.9442774531247606
4.183143450862069,0.04414030849775637,8.97986931539546,-2.6702224243454546,2.31294081640874,3641.539999999979,3.964641630632034e-05,0.9071330077866174,0.2313049733547619,0.10823142421559172,2.4446554182047824,0.7579786931508756,0.026171977654444442,410.0,-0.0008586745335475245,2.8030895296941676,13.0,0.9440660110324912
4.184297676653387,0.04296460154121622,9.833633525646066,-2.816653138732986,2.313319820207243,3642.0999999999767,3.451487213961424e-05,0.8708918867119215,0.22982993456666667,0.10846165818253908,2.4672509034037695,0.7643735754877176,0.025998194348888885,410.0,-0.0008602176223985091,2.7825408102333262,14.0,0.9443751107896992
4.183657912425532,0.04339394784051754,9.25784311143839,-2.7194206814299795,2.313722125590599,3642.740000000049,3.807593532773806e-05,0.8977550010476654,0.22564899636511626,0.10895331556961237,2.523526577644095,0.7947119223302773,0.026139976094305555,420.0,-0.000841435281843854,2.7575123188356474,15.0,0.9442615364888028
4.183242338033473,0.044319155221745524,9.171935108968444,-2.7043069786812155,2.314124412747497,3643.4099999999744,3.83501206108994e-05,0.90615443318192,0.22848932049999998,0.10866624689524415,2.491549920244059,0.7738248838661104,0.02584390868319444,410.0,-0.0008613069343148854,2.7906312405569165,16.0,0.9443513909825915
4.183382600765957,0.04391279953808196,9.153568939773342,-2.7012738165797807,2.3144300984256803,3643.7999999999884,3.868209076463252e-05,0.8977550010476654,0.2279588878380952,0.10832107980793394,2.448777875248391,0.7562700981282544,0.02606664801708333,420.0,-0.0008558874763327254,2.794308527067312,17.0,0.9443777643783579
