seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0002999999999993008,0.0,0.0,0.0,3.4839859008789062,3.4839859008789062,3.4839859008789062,3.4839859008789062,Rest
2,1,2,1502.1576,4.6291230065482,3.259958267211914,4.8902130126953125,3.9047346115112305,4.200338363647461,3.9047346115112305,4.200338363647461,Charge (CC-ish)
3,1,3,3405.7944999999995,1.1529825846354167,0.08148956298828125,3.260183334350586,4.228792190551758,4.399997711181641,4.228792190551758,4.40034294128418,Charge (CC-ish)
4,1,4,179.9994000000006,0.0,0.0,0.0,4.395003318786621,4.39421272277832,4.39421272277832,4.395003318786621,Rest
5,1,5,1688.8082999999997,-6.519969701766968,-6.520122528076172,-6.519883155822754,3.99918270111084,2.999985694885254,2.999985694885254,3.99918270111084,Discharge (CC-ish)
6,1,6,180.0007000000005,0.0,0.0,0.0,3.5363121032714844,3.5581531524658203,3.5363121032714844,3.5581531524658203,Rest
