seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0015000000000000568,0.0,0.0,0.0,3.4929757118225098,3.4929757118225098,3.4929757118225098,3.4929757118225098,Rest
2,1,2,1501.9583,4.628888130187988,3.259979248046875,4.889934539794922,3.907456874847412,4.200404644012451,3.907456874847412,4.200425624847412,Charge (CC-ish)
3,1,3,1639.3643000000002,2.066721471150716,0.6519889831542969,3.2600326538085938,4.228932857513428,4.400357723236084,4.228932857513428,4.400401592254639,Charge (CC-ish)
4,1,4,180.00030000000015,0.0,0.0,0.0,4.360538005828857,4.355610370635986,4.355610370635986,4.360538005828857,Rest
5,1,5,1619.5439000000006,-6.5199687321980795,-6.520055770874023,-6.519888877868652,3.9570813179016113,2.9999985694885254,2.9999985694885254,3.9570813179016113,Discharge (CC-ish)
6,1,6,180.0015000000003,0.0,0.0,0.0,3.5337319374084473,3.5549817085266113,3.5337319374084473,3.5549817085266113,Rest
