seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,1680.0023,0.0,0.0,0.0,3.4618382453918457,3.466707706451416,3.4618382453918457,3.466707706451416,Rest
2,1,2,1435.7565,4.624034001277043,3.259969711303711,4.890119552612305,3.9460673332214355,4.20039701461792,3.9460673332214355,4.200414180755615,Charge (CC-ish)
3,1,3,4035.3941999999997,1.061503710065569,0.08149528503417969,3.260204315185547,4.228002071380615,4.400292873382568,4.228002071380615,4.400394916534424,Charge (CC-ish)
4,1,4,180.0021999999999,0.0,0.0,0.0,4.3945088386535645,4.393473148345947,4.393473148345947,4.3945088386535645,Rest
5,1,5,3575.0420999999997,-3.2599270728326615,-3.260197639465332,-3.2597970962524414,4.170887470245361,2.9999938011169434,2.9999938011169434,4.170887470245361,Discharge (CC-ish)
6,1,6,180.00210000000152,0.0,0.0,0.0,3.2986226081848145,3.3139290809631348,3.2986226081848145,3.3139290809631348,Rest
