seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,1680.0024,0.0,0.0,0.0,3.4704556465148926,3.475853443145752,3.4704556465148926,3.475853443145752,Rest
2,1,2,1439.5798999999997,4.632841403667744,3.2599868774414062,4.890102386474609,3.944183826446533,4.2003960609436035,3.944183826446533,4.200403690338135,Charge (CC-ish)
3,1,3,4050.327,1.0573228563581194,0.0814971923828125,3.259927749633789,4.2282328605651855,4.40031099319458,4.2282328605651855,4.40043306350708,Charge (CC-ish)
4,1,4,180.0030999999999,0.0,0.0,0.0,4.39465856552124,4.393660068511963,4.393660068511963,4.39465856552124,Rest
5,1,5,1653.9030000000002,-6.519931983947754,-6.520220756530762,-6.519829750061035,3.959627628326416,2.999986171722412,2.999986171722412,3.959627628326416,Discharge (CC-ish)
6,1,6,179.9997999999996,0.0,0.0,0.0,3.58378267288208,3.624472141265869,3.58378267288208,3.624472141265869,Rest
