seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0016999999999995907,0.0,0.0,0.0,3.478581428527832,3.478581428527832,3.478581428527832,3.478581428527832,Rest
2,1,2,1239.3654999999999,4.3566239674886065,3.259993553161621,4.890135765075684,4.062054634094238,4.2002458572387695,4.062054634094238,4.200277328491211,Charge (CC-ish)
3,1,3,5353.851500000001,1.003755631654159,0.0814828872680664,3.25998592376709,4.219352722167969,4.400102615356445,4.219352722167969,4.400325775146484,Charge (CC-ish)
4,1,4,180.0006000000003,0.0,0.0,0.0,4.392071723937988,4.390588760375977,4.390588760375977,4.392071723937988,Rest
5,1,5,5080.2767,-2.2820324030789463,-2.2822093963623047,-2.2817907333374023,4.170086860656738,3.0,3.0,4.170086860656738,Discharge (CC-ish)
6,1,6,180.0000999999993,0.0,0.0,0.0,3.3763551712036133,3.398526191711426,3.3763551712036133,3.398526191711426,Rest
