seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0023999999999997357,0.0,0.0,0.0,3.435718536376953,3.4357166290283203,3.4357166290283203,3.435718536376953,Rest
2,1,2,1234.1399,4.358287652333577,3.259995460510254,4.890072822570801,4.054509162902832,4.200270652770996,4.054509162902832,4.200278282165527,Charge (CC-ish)
3,1,3,5160.792799999999,1.020106569925944,0.08149147033691406,3.2601747512817383,4.219015121459961,4.400119781494141,4.219015121459961,4.400302886962891,Charge (CC-ish)
4,1,4,180.0024000000003,0.0,0.0,0.0,4.392327308654785,4.390900611877441,4.390900611877441,4.392327308654785,Rest
5,1,5,1562.0576,-6.519927310943603,-6.520200252532959,-6.519814968109131,3.8040618896484375,2.999997138977051,2.999997138977051,3.8040618896484375,Discharge (CC-ish)
6,1,6,180.0002999999997,0.0,0.0,0.0,3.6440839767456055,3.6769227981567383,3.6440839767456055,3.6769227981567383,Rest
