file,sheet,cycle1_min_cycle,n_steps_cycle1,signature,out_csv
DOE-001-050-45DU 13.xlsx,Channel_16_1,1,6,"Rest (1690s, I~0.00A, V[3.46,3.47]) | Charge (CC-ish) (1446s, I~4.54A, V[3.94,4.20]) | Charge (CC-ish) (1758s, I~2.04A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.35,4.35]) | Discharge (CC-ish) (4943s, I~-2.28A, V[3.00,4.19]) | Rest (180s, I~0.00A, V[3.21,3.22])",protocol_summaries/DOE-001-050-45DU 13__Channel_16_1.csv
DOE-001-050-45DU 14.xlsx,Channel_38_1,1,6,"Rest (1680s, I~0.00A, V[3.46,3.47]) | Charge (CC-ish) (1427s, I~4.59A, V[3.95,4.20]) | Charge (CC-ish) (3919s, I~1.11A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.39]) | Discharge (CC-ish) (5182s, I~-2.28A, V[3.00,4.23]) | Rest (180s, I~0.00A, V[3.21,3.23])",protocol_summaries/DOE-001-050-45DU 14__Channel_38_1.csv
DOE-001-050-45DU 15.xlsx,Channel_53_1,1,6,"Rest (1680s, I~0.00A, V[3.46,3.47]) | Charge (CC-ish) (1427s, I~4.59A, V[3.95,4.20]) | Charge (CC-ish) (1818s, I~1.99A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.35,4.35]) | Discharge (CC-ish) (3400s, I~-3.26A, V[3.00,4.12]) | Rest (180s, I~0.00A, V[3.32,3.34])",protocol_summaries/DOE-001-050-45DU 15__Channel_53_1.csv
DOE-001-050-45DU 16.xlsx,Channel_67_1,1,6,"Rest (1680s, I~0.00A, V[3.46,3.47]) | Charge (CC-ish) (1436s, I~4.62A, V[3.95,4.20]) | Charge (CC-ish) (4035s, I~1.06A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.39]) | Discharge (CC-ish) (3575s, I~-3.26A, V[3.00,4.17]) | Rest (180s, I~0.00A, V[3.30,3.31])",protocol_summaries/DOE-001-050-45DU 16__Channel_67_1.csv
DOE-001-050-45DU 17.xlsx,Channel_76_1,1,6,"Rest (1680s, I~0.00A, V[3.46,3.47]) | Charge (CC-ish) (1441s, I~4.53A, V[3.94,4.20]) | Charge (CC-ish) (1755s, I~2.03A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.35,4.35]) | Discharge (CC-ish) (1562s, I~-6.52A, V[3.00,3.90]) | Rest (180s, I~0.00A, V[3.59,3.63])",protocol_summaries/DOE-001-050-45DU 17__Channel_76_1.csv
DOE-001-050-45DU 18.xlsx,Channel_87_1,1,6,"Rest (1680s, I~0.00A, V[3.47,3.48]) | Charge (CC-ish) (1440s, I~4.63A, V[3.94,4.20]) | Charge (CC-ish) (4050s, I~1.06A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.39]) | Discharge (CC-ish) (1654s, I~-6.52A, V[3.00,3.96]) | Rest (180s, I~0.00A, V[3.58,3.62])",protocol_summaries/DOE-001-050-45DU 18__Channel_87_1.csv
DOE-001-050-60DU 19.xlsx,Channel_1_1,1,6,"Rest (0s, I~0.00A, V[3.49,3.49]) | Charge (CC-ish) (1496s, I~4.62A, V[3.91,4.20]) | Charge (CC-ish) (1670s, I~2.09A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.36,4.36]) | Discharge (CC-ish) (5024s, I~-2.28A, V[3.00,4.21]) | Rest (180s, I~0.00A, V[3.17,3.19])",protocol_summaries/DOE-001-050-60DU 19__Channel_1_1.csv
DOE-001-050-60DU 20.xlsx,Channel_9_1,1,6,"Rest (0s, I~0.00A, V[3.48,3.48]) | Charge (CC-ish) (1502s, I~4.63A, V[3.91,4.20]) | Charge (CC-ish) (3396s, I~1.16A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.40]) | Discharge (CC-ish) (5225s, I~-2.28A, V[3.00,4.25]) | Rest (180s, I~0.00A, V[3.17,3.19])",protocol_summaries/DOE-001-050-60DU 20__Channel_9_1.csv
DOE-001-050-60DU 21.xlsx,Channel_65_1,1,6,"Rest (0s, I~0.00A, V[3.49,3.49]) | Charge (CC-ish) (1500s, I~4.63A, V[3.91,4.20]) | Charge (CC-ish) (1634s, I~2.06A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.36,4.36]) | Discharge (CC-ish) (3457s, I~-3.26A, V[3.00,4.16]) | Rest (180s, I~0.00A, V[3.23,3.25])",protocol_summaries/DOE-001-050-60DU 21__Channel_65_1.csv
DOE-001-050-60DU 22.xlsx,Channel_73_1,1,6,"Rest (0s, I~0.00A, V[3.48,3.48]) | Charge (CC-ish) (1509s, I~4.64A, V[3.90,4.20]) | Charge (CC-ish) (3392s, I~1.15A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.40]) | Discharge (CC-ish) (3614s, I~-3.26A, V[3.00,4.20]) | Rest (180s, I~0.00A, V[3.23,3.25])",protocol_summaries/DOE-001-050-60DU 22__Channel_73_1.csv
DOE-001-050-60DU 23.xlsx,Channel_81_1,1,6,"Rest (0s, I~0.00A, V[3.49,3.49]) | Charge (CC-ish) (1502s, I~4.63A, V[3.91,4.20]) | Charge (CC-ish) (1639s, I~2.07A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.36,4.36]) | Discharge (CC-ish) (1620s, I~-6.52A, V[3.00,3.96]) | Rest (180s, I~0.00A, V[3.53,3.55])",protocol_summaries/DOE-001-050-60DU 23__Channel_81_1.csv
DOE-001-050-60DU 24.xlsx,Channel_89_1,1,6,"Rest (0s, I~0.00A, V[3.48,3.48]) | Charge (CC-ish) (1502s, I~4.63A, V[3.90,4.20]) | Charge (CC-ish) (3406s, I~1.15A, V[4.23,4.40]) | Rest (180s, I~0.00A, V[4.39,4.40]) | Discharge (CC-ish) (1689s, I~-6.52A, V[3.00,4.00]) | Rest (180s, I~0.00A, V[3.54,3.56])",protocol_summaries/DOE-001-050-60DU 24__Channel_89_1.csv
