seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0022999999999999687,0.0,0.0,0.0,3.4782328605651855,3.4782328605651855,3.4782328605651855,3.4782328605651855,Rest
2,1,2,1509.24,4.635614803859165,3.2599868774414062,4.890176773071289,3.9029345512390137,4.200408458709717,3.9029345512390137,4.200412273406982,Charge (CC-ish)
3,1,3,3391.7204999999994,1.1498839696248373,0.08149909973144531,3.260120391845703,4.228785991668701,4.400322437286377,4.228785991668701,4.40041971206665,Charge (CC-ish)
4,1,4,180.0015999999996,0.0,0.0,0.0,4.395399570465088,4.39459753036499,4.39459753036499,4.395399570465088,Rest
5,1,5,3614.1859999999997,-3.259976774454117,-3.2600221633911133,-3.2599048614501953,4.197328090667725,2.9999899864196777,2.9999899864196777,4.197328090667725,Discharge (CC-ish)
6,1,6,180.0007999999998,0.0,0.0,0.0,3.230071544647217,3.2463526725769043,3.230071544647217,3.2463526725769043,Rest
