seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0039999999999995595,0.0,0.0,0.0,3.4994778633117676,3.499476909637451,3.499476909637451,3.4994778633117676,Rest
2,1,2,1183.7432999999999,4.368797475641424,3.2599925994873047,4.890106201171875,4.068599224090576,4.2002387046813965,4.068599224090576,4.2002739906311035,Charge (CC-ish)
3,1,3,2245.2944,2.079920530319214,0.6519889831542969,3.260190963745117,4.218027591705322,4.400190830230713,4.218027591705322,4.400266170501709,Charge (CC-ish)
4,1,4,180.0012999999999,0.0,0.0,0.0,4.3368659019470215,4.328223705291748,4.328223705291748,4.3368659019470215,Rest
5,1,5,4697.0085,-2.281931691053437,-2.2820091247558594,-2.281867027282715,4.111341953277588,2.999995708465576,2.999995708465576,4.111341953277588,Discharge (CC-ish)
6,1,6,180.0015999999996,0.0,0.0,0.0,3.38521146774292,3.4062399864196777,3.38521146774292,3.4062399864196777,Rest
