seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0022999999999999687,0.0,0.0,0.0,3.4953155517578125,3.4953155517578125,3.4953155517578125,3.4953155517578125,Rest
2,1,2,1256.2537,4.398468494415283,3.259981155395508,4.889976501464844,4.060462951660156,4.200235366821289,4.060462951660156,4.200294494628906,Charge (CC-ish)
3,1,3,2095.6367,2.0322830802515934,0.6519870758056641,3.2602100372314453,4.220792770385742,4.400184631347656,4.220792770385742,4.400296211242676,Charge (CC-ish)
4,1,4,180.00379999999996,0.0,0.0,0.0,4.33751106262207,4.3287553787231445,4.3287553787231445,4.33751106262207,Rest
5,1,5,3223.7271,-3.259955644607544,-3.260030746459961,-3.2598676681518555,4.026312828063965,2.999988555908203,2.999988555908203,4.026312828063965,Discharge (CC-ish)
6,1,6,180.0005999999994,0.0,0.0,0.0,3.484358787536621,3.5095338821411133,3.484358787536621,3.5095338821411133,Rest
