seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,3480.003,0.0,0.0,0.0,3.406440258026123,3.4119162559509277,3.406440258026123,3.4119162559509277,Rest
2,1,2,396.02210000000014,3.6360599517822267,3.259988784790039,4.062389373779297,4.200256824493408,4.200246334075928,4.20019006729126,4.200257778167725,Hold (CV-ish)
3,1,3,3984.4564999999993,1.972531155177525,0.6519899368286133,3.259950637817383,4.2212395668029785,4.4001994132995605,4.2212395668029785,4.400235652923584,Charge (CC-ish)
4,1,4,179.9997999999996,0.0,0.0,0.0,4.300644397735596,4.283999919891357,4.283999919891357,4.300644397735596,Rest
5,1,5,2606.4353999999985,-3.260022619496221,-3.2600955963134766,-3.259831428527832,3.7767367362976074,2.9999947547912598,2.9999947547912598,3.7767367362976074,Discharge (CC-ish)
6,1,6,180.0005999999994,0.0,0.0,0.0,3.6725640296936035,3.7048449516296387,3.6725640296936035,3.7048449516296387,Rest
