seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.00019999999999953388,0.0,0.0,0.0,3.4764041900634766,3.4764041900634766,3.4764041900634766,3.4764041900634766,Rest
2,1,2,1224.7497999999998,4.332146167755127,3.2599849700927734,4.9017333984375,4.062784194946289,4.2002410888671875,4.062784194946289,4.200292587280273,Charge (CC-ish)
3,1,3,6089.7793,0.945740479689378,0.0814962387084961,3.268918991088867,4.2191314697265625,4.400053977966309,4.2191314697265625,4.400303840637207,Charge (CC-ish)
4,1,4,180.0010000000002,0.0,0.0,0.0,4.394313812255859,4.393324851989746,4.393324851989746,4.394313812255859,Rest
5,1,5,3465.9158000000007,-3.259998162587484,-3.260120391845703,-3.2599239349365234,4.079381942749023,2.9999828338623047,2.9999828338623047,4.079381942749023,Discharge (CC-ish)
6,1,6,180.002199999999,0.0,0.0,0.0,3.5140113830566406,3.543972969055176,3.5140113830566406,3.543972969055176,Rest
