seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.001900000000000901,0.0,0.0,0.0,3.4859328269958496,3.4859347343444824,3.4859328269958496,3.4859347343444824,Rest
2,1,2,1175.2938000000001,4.361459125172008,3.2599973678588867,4.88999080657959,4.070933818817139,4.200293064117432,4.070933818817139,4.200293064117432,Charge (CC-ish)
3,1,3,2245.684,2.082574796676636,0.6519899368286133,3.260098457336426,4.218189716339111,4.400247097015381,4.218189716339111,4.4002909660339355,Charge (CC-ish)
4,1,4,180.00229999999965,0.0,0.0,0.0,4.33456563949585,4.3256096839904785,4.3256096839904785,4.33456563949585,Rest
5,1,5,1432.7610999999997,-6.519980650681716,-6.520188331604004,-6.519751071929932,3.7244105339050293,2.9999918937683105,2.9999918937683105,3.7244105339050293,Discharge (CC-ish)
6,1,6,180.0024999999996,0.0,0.0,0.0,3.662055492401123,3.6883044242858887,3.662055492401123,3.6883044242858887,Rest
