seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,3479.9990000000003,0.0,0.0,0.0,3.415966033935547,3.4213809967041016,3.415966033935547,3.4213809967041016,Rest
2,1,2,433.20610000000033,3.6985002517700196,3.2599992752075195,4.117108345031738,4.200201988220215,4.200292587280273,4.200201988220215,4.200292587280273,Hold (CV-ish)
3,1,3,3913.2725,1.9822867898380054,0.6519985198974609,3.260178565979004,4.221370697021484,4.400128364562988,4.221370697021484,4.400285720825195,Charge (CC-ish)
4,1,4,180.0022000000008,0.0,0.0,0.0,4.299524307250977,4.2828369140625,4.2828369140625,4.299524307250977,Rest
5,1,5,866.8478999999988,-6.520022816128201,-6.520088195800781,-6.5199480056762695,3.4164838790893555,2.9999990463256836,2.9999990463256836,3.4164838790893555,Discharge (CC-ish)
6,1,6,180.002199999999,0.0,0.0,0.0,3.748396873474121,3.7737340927124023,3.748396873474121,3.7737340927124023,Rest
