seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,1680.0022,0.0,0.0,0.0,3.4602737426757812,3.465503692626953,3.4602737426757812,3.465503692626953,Rest
2,1,2,1427.0252999999998,4.593350483820989,3.259990692138672,4.890104293823242,3.9507246017456055,4.200368881225586,3.9507246017456055,4.2003936767578125,Charge (CC-ish)
3,1,3,1817.8142000000003,1.9937804726993336,0.6519966125488281,3.2601470947265625,4.226622581481934,4.400352478027344,4.226622581481934,4.400387763977051,Charge (CC-ish)
4,1,4,180.0007000000005,0.0,0.0,0.0,4.3534345626831055,4.347434043884277,4.347434043884277,4.3534345626831055,Rest
5,1,5,3399.8981999999996,-3.260064474741618,-3.260152816772461,-3.2599525451660156,4.117876052856445,2.999985694885254,2.999985694885254,4.117876052856445,Discharge (CC-ish)
6,1,6,180.0013999999992,0.0,0.0,0.0,3.323073387145996,3.336907386779785,3.323073387145996,3.336907386779785,Rest
