seg,cycle,step_index,dur_s,I_mean,I_min,I_max,V_start,V_end,V_min,V_max,type
1,1,1,0.0022999999999999687,0.0,0.0,0.0,3.4908852577209473,3.4908852577209473,3.4908852577209473,3.4908852577209473,Rest
2,1,2,1496.4178,4.616998400006976,3.259958267211914,4.8901824951171875,3.9137864112854004,4.2003912925720215,3.9137864112854004,4.200404644012451,Charge (CC-ish)
3,1,3,1669.7133999999999,2.08603515625,0.6519851684570312,3.2602081298828125,4.22848653793335,4.400328159332275,4.22848653793335,4.400373935699463,Charge (CC-ish)
4,1,4,180.0021999999999,0.0,0.0,0.0,4.360157489776611,4.355320453643799,4.355320453643799,4.360157489776611,Rest
5,1,5,5023.903199999999,-2.281981734342353,-2.282059669494629,-2.2817564010620117,4.212109088897705,2.999983310699463,2.999983310699463,4.212109088897705,Discharge (CC-ish)
6,1,6,180.0015000000003,0.0,0.0,0.0,3.1742453575134277,3.1920218467712402,3.1742453575134277,3.1920218467712402,Rest
